,hmid,predicted_category
0,88305,bonding
1,88306,achievement
2,88307,affection
3,88308,bonding
4,88309,affection
5,88310,leisure
6,88311,achievement
7,88312,affection
8,88313,leisure
9,88314,bonding
10,88315,achievement
11,88316,affection
12,88317,bonding
13,88318,achievement
14,88319,affection
15,88320,affection
16,88321,achievement
17,88322,affection
18,88323,affection
19,88324,achievement
20,88325,achievement
21,88326,achievement
22,88327,affection
23,88328,affection
24,88329,achievement
25,88330,affection
26,88331,achievement
27,88332,achievement
28,88333,leisure
29,88334,affection
30,88335,exercise
31,88336,enjoy_the_moment
32,88337,achievement
33,88338,achievement
34,88339,affection
35,88340,bonding
36,88341,achievement
37,88342,achievement
38,88343,achievement
39,88344,affection
40,88345,achievement
41,88346,bonding
42,88347,affection
43,88348,enjoy_the_moment
44,88349,affection
45,88350,nature
46,88351,bonding
47,88352,affection
48,88353,achievement
49,88354,bonding
50,88355,achievement
51,88356,leisure
52,88357,affection
53,88358,achievement
54,88359,bonding
55,88360,leisure
56,88361,achievement
57,88362,bonding
58,88363,achievement
59,88364,achievement
60,88365,enjoy_the_moment
61,88366,enjoy_the_moment
62,88367,affection
63,88368,affection
64,88369,affection
65,88370,affection
66,88371,leisure
67,88372,achievement
68,88373,achievement
69,88374,achievement
70,88375,achievement
71,88376,nature
72,88377,affection
73,88378,affection
74,88379,bonding
75,88380,leisure
76,88381,achievement
77,88382,achievement
78,88383,achievement
79,88384,enjoy_the_moment
80,88385,achievement
81,88386,achievement
82,88388,achievement
83,88389,achievement
84,88390,bonding
85,88391,achievement
86,88392,affection
87,88393,affection
88,88394,affection
89,88395,achievement
90,88396,affection
91,88397,affection
92,88398,achievement
93,88399,affection
94,88400,bonding
95,88401,achievement
96,88402,nature
97,88403,affection
98,88404,achievement
99,88405,achievement
100,88406,achievement
101,88407,affection
102,88408,bonding
103,88409,achievement
104,88410,leisure
105,88411,achievement
106,88412,bonding
107,88413,exercise
108,88414,affection
109,88415,bonding
110,88416,affection
111,88417,affection
112,88418,bonding
113,88419,exercise
114,88420,affection
115,88421,achievement
116,88422,achievement
117,88423,achievement
118,88424,enjoy_the_moment
119,88425,achievement
120,88426,affection
121,88427,bonding
122,88428,bonding
123,88429,bonding
124,88430,achievement
125,88431,achievement
126,88432,achievement
127,88433,achievement
128,88434,bonding
129,88435,affection
130,88436,leisure
131,88437,achievement
132,88438,nature
133,88439,leisure
134,88440,achievement
135,88441,enjoy_the_moment
136,88442,affection
137,88443,leisure
138,88444,affection
139,88445,affection
140,88446,achievement
141,88447,affection
142,88448,achievement
143,88449,achievement
144,88450,affection
145,88451,leisure
146,88452,achievement
147,88453,nature
148,88454,affection
149,88455,achievement
150,88456,affection
151,88457,bonding
152,88458,achievement
153,88459,affection
154,88460,achievement
155,88461,achievement
156,88462,affection
157,88463,bonding
158,88464,affection
159,88465,achievement
160,88466,achievement
161,88467,achievement
162,88468,achievement
163,88469,affection
164,88470,achievement
165,88471,bonding
166,88472,affection
167,88473,achievement
168,88474,achievement
169,88475,affection
170,88476,affection
171,88477,leisure
172,88478,achievement
173,88479,achievement
174,88480,affection
175,88481,affection
176,88482,achievement
177,88483,achievement
